orderId,symbol,mode,qty,price,value,avgCost,realizedPnl,createdAt
1787833426455-cd95b74a0c545,ONGC,BUY,6,117.86,707.16,117.53,0,2026-08-27T12:23:46.455Z
1787833426455-3d0904bcdc637,KPITTECH,BUY,9,265.34,2388.06,264.44,0,2026-08-27T12:23:46.455Z
1787833426455-dd3ae56c7ed13,ITC,BUY,3,199.79,599.37,202.08,0,2026-08-27T12:23:46.455Z
1787833426455-a629e37911d3f8,TATAPOWER,BUY,10,125.12,1251.2,124.9,0,2026-08-27T12:23:46.455Z
1787833426455-17536ccfc7dfc8,ITC,BUY,19,199.36,3787.84,202.11,0,2026-08-27T12:23:46.455Z
1787833426455-72fb0eb57c8db8,HINDUNILVR,BUY,3,2431.63,7294.89,2438.24,0,2026-08-27T12:23:46.455Z
1787833426455-fc44d9ccabe878,TATAPOWER,SELL,19,125.51,2384.69,124.89,11.78,2026-08-27T12:23:46.455Z
1787833426455-74e6012d3e0068,TATAPOWER,BUY,9,125.75,1131.75,124.89,0,2026-08-27T12:23:46.455Z
1787833426455-55e72e9caa3d88,JUBLFOOD,BUY,5,2978.09,14890.45,2991.29,0,2026-08-27T12:23:46.455Z
1787833426455-9bca2b8de42d88,INFY,SELL,12,1527.37,18328.44,1531.93,-54.72,2026-08-27T12:23:46.455Z
1787833426455-6670a4bc12978,EVEREADY,BUY,7,330.45,2313.15,326.95,0,2026-08-27T12:23:46.455Z
1787833426455-45cf4d0483274,SBIN,BUY,20,446.97,8939.4,443.99,0,2026-08-27T12:23:46.455Z
1787833426455-e4f9b397accfe8,SGBMAY29,BUY,3,4684.61,14053.83,4702.32,0,2026-08-27T12:23:46.455Z
1787833426455-f0e1839e51bb48,TCS,BUY,6,3237.01,19422.06,3230.36,0,2026-08-27T12:23:46.455Z
1787833426454-78c6ee9559d968,HINDUNILVR,SELL,12,2451.81,29421.72,2438.49,159.84,2026-08-27T12:23:46.454Z
1787833426454-f6d02fea281458,TCS,BUY,12,3229.83,38757.96,3229.75,0,2026-08-27T12:23:46.454Z
1787833426454-49d0a5f4c09dc,INFY,BUY,19,1531.68,29101.92,1531.93,0,2026-08-27T12:23:46.454Z
1787833426454-b739ed8fe2f0d,EVEREADY,BUY,8,328.69,2629.52,326.83,0,2026-08-27T12:23:46.454Z
1787833426454-c3242303382a78,SGBMAY29,BUY,1,4681.85,4681.85,4702.57,0,2026-08-27T12:23:46.454Z
1787833426454-2496cc65d78ff8,QUICKHEAL,BUY,11,316.68,3483.48,314.94,0,2026-08-27T12:23:46.454Z
1787833426454-9219db79acdef,QUICKHEAL,BUY,8,314.87,2518.96,314.85,0,2026-08-27T12:23:46.454Z
1787833426454-2c4f27bbecd57,ITC,SELL,6,200.48,1202.88,202.34,-11.16,2026-08-27T12:23:46.454Z
1787833426454-947dc5fac41418,INFY,SELL,20,1527.7,30554,1532.05,-87,2026-08-27T12:23:46.454Z
1787833426454-eb887527280e18,HINDUNILVR,BUY,7,2449.22,17144.54,2438.49,0,2026-08-27T12:23:46.454Z
1787833426454-3a28612335a318,BHARTIARTL,SELL,1,563,563,559.32,3.68,2026-08-27T12:23:46.454Z
1787833426454-0a5c746130e74,HINDUNILVR,BUY,7,2446.66,17126.62,2437.62,0,2026-08-27T12:23:46.454Z
1787833426454-2a42f3427a51c,ITC,BUY,16,199.51,3192.16,202.34,0,2026-08-27T12:23:46.454Z
1787833426454-36450c57105ab8,SGBMAY29,BUY,2,4676.7,9353.4,4702.67,0,2026-08-27T12:23:46.454Z
1787833426454-3f6d6a5c16e9c,RELIANCE,BUY,9,2024.95,18224.55,2016.65,0,2026-08-27T12:23:46.454Z
1787833426454-59dc1a3150597,BHARTIARTL,BUY,7,562.94,3940.58,559.32,0,2026-08-27T12:23:46.454Z
1787833426454-2812568ca5ebf8,HDFCBANK,BUY,7,1521.32,10649.24,1516.71,0,2026-08-27T12:23:46.454Z
1787833426454-6506ec2b4455b,M&M,BUY,7,806.22,5643.54,797.04,0,2026-08-27T12:23:46.454Z
1787833426454-826bb8633bde2,TATAPOWER,SELL,10,125.37,1253.7,124.86,5.1,2026-08-27T12:23:46.454Z
1787833426454-9eb522e3df3838,RELIANCE,SELL,4,2023.27,8093.08,2016.14,28.52,2026-08-27T12:23:46.454Z
1787833426454-841c52348e107,ITC,SELL,7,199.73,1398.11,202.55,-19.74,2026-08-27T12:23:46.454Z
1787833426454-234b949091bfc,M&M,BUY,6,807.54,4845.24,796.82,0,2026-08-27T12:23:46.454Z
1787833426454-c171f65d4f8d,HINDUNILVR,SELL,6,2441.97,14651.82,2436.82,30.9,2026-08-27T12:23:46.454Z
1787833426454-16e8769991b69,M&M,BUY,4,807.54,3230.16,796.59,0,2026-08-27T12:23:46.454Z
1787833426453-baf2d7002d05c8,TCS,SELL,17,3226.49,54850.33,3229.73,-55.08,2026-08-27T12:23:46.453Z
1787833426453-5d0915e7a1fd78,M&M,BUY,18,813.58,14644.44,796.43,0,2026-08-27T12:23:46.453Z
1787833426453-ca0d2a3dbb96f8,QUICKHEAL,BUY,12,316.5,3798,314.85,0,2026-08-27T12:23:46.453Z
1787833426453-daf6140385238,ITC,BUY,15,199.4,2991,202.55,0,2026-08-27T12:23:46.453Z
1787833426453-10c77c8fc16d5,EVEREADY,BUY,9,327.54,2947.86,326.75,0,2026-08-27T12:23:46.453Z
1787833426453-fcb7462744d18,EVEREADY,BUY,11,327.7,3604.7,326.71,0,2026-08-27T12:23:46.453Z
1787833426453-cf8cc61c0aced,SBIN,BUY,12,447.3,5367.6,443.59,0,2026-08-27T12:23:46.453Z
1787833426453-d02be6726c0ab,EVEREADY,BUY,18,328.25,5908.5,326.65,0,2026-08-27T12:23:46.453Z
1787833426453-40bc6029dd273,TCS,BUY,5,3253.61,16268.05,3229.73,0,2026-08-27T12:23:46.453Z
1787833426453-5e9ab9a1017ed8,INFY,SELL,8,1528.74,12229.92,1532.05,-26.48,2026-08-27T12:23:46.453Z
1787833426453-7d36807d40a4e8,ONGC,BUY,2,117.76,235.52,117.51,0,2026-08-27T12:23:46.453Z
1787833426453-567713479488f,TATAPOWER,BUY,13,125.52,1631.76,124.86,0,2026-08-27T12:23:46.453Z
1787833426453-0b2a9acef733e8,WIPRO,SELL,12,595.87,7150.44,595.29,6.96,2026-08-27T12:23:46.453Z
1787833426453-ae7bafab4ab88,SGBMAY29,SELL,13,4668.28,60687.64,4702.92,-450.32,2026-08-27T12:23:46.453Z
1787833426453-90a6fc1f5218a,ITC,SELL,4,199.65,798.6,202.78,-12.52,2026-08-27T12:23:46.453Z
1787833426453-65f68c304bc1,TCS,SELL,17,3252.02,55284.34,3227.92,409.7,2026-08-27T12:23:46.453Z
1787833426453-c726ce5ae2bc68,ITC,SELL,2,199.23,398.46,202.78,-7.1,2026-08-27T12:23:46.453Z
1787833426453-086437e4e04ef8,EVEREADY,BUY,19,328.25,6236.75,326.46,0,2026-08-27T12:23:46.453Z
1787833426453-0a12e6b81a0ec8,EVEREADY,SELL,20,328.8,6576,326.2,52,2026-08-27T12:23:46.453Z
1787833426453-bb7308aa0599f,JUBLFOOD,BUY,15,2967.76,44516.4,2991.58,0,2026-08-27T12:23:46.453Z
1787833426453-916fec7ff1f49,QUICKHEAL,BUY,17,316.3,5377.1,314.75,0,2026-08-27T12:23:46.453Z
1787833426453-2fbe155cf4c58,WIPRO,BUY,12,596.22,7154.64,595.29,0,2026-08-27T12:23:46.453Z
1787833426453-2b944331ba7528,KPITTECH,BUY,20,263.69,5273.8,264.39,0,2026-08-27T12:23:46.453Z
1787833426453-c348543aa4b538,WIPRO,BUY,15,596.84,8952.6,595.24,0,2026-08-27T12:23:46.453Z
1787833426453-2254915ea1cc58,WIPRO,BUY,16,599.77,9596.32,595.12,0,2026-08-27T12:23:46.453Z
1787833426453-0811d94ebf194,RELIANCE,SELL,6,2022.68,12136.08,2016.14,39.24,2026-08-27T12:23:46.453Z
1787833426453-d198e8ec948eb8,RELIANCE,BUY,19,2009.28,38176.32,2016.14,0,2026-08-27T12:23:46.453Z
1787833426453-3c4f5435a724c,TCS,BUY,5,3224.25,16121.25,3227.92,0,2026-08-27T12:23:46.453Z
1787833426452-5ace40011825b,SBIN,BUY,4,449.65,1798.6,443.26,0,2026-08-27T12:23:46.452Z
1787833426452-6b02342d15d6a,KPITTECH,BUY,20,263.47,5269.4,264.49,0,2026-08-27T12:23:46.452Z
1787833426452-a5170e2849ed18,BHARTIARTL,BUY,14,564.53,7903.42,559.15,0,2026-08-27T12:23:46.452Z
1787833426452-1f38a4e2f43cf8,KPITTECH,SELL,19,265.8,5050.2,264.67,21.47,2026-08-27T12:23:46.452Z
1787833426452-239dffd2a8d438,QUICKHEAL,BUY,6,315.75,1894.5,314.6,0,2026-08-27T12:23:46.452Z
1787833426452-1b85e5178133b,M&M,BUY,11,813.56,8949.16,795.26,0,2026-08-27T12:23:46.452Z
1787833426452-28ab23c346831,WIPRO,SELL,1,597.06,597.06,594.73,2.33,2026-08-27T12:23:46.452Z
1787833426452-5fe068ffbe687,QUICKHEAL,SELL,12,316.66,3799.92,314.56,25.2,2026-08-27T12:23:46.452Z
1787833426452-79871bf0dfdf58,TCS,SELL,7,3249.38,22745.66,3228.15,148.61,2026-08-27T12:23:46.452Z
1787833426452-01feba241e4e6,QUICKHEAL,SELL,15,315.33,4729.95,314.56,11.55,2026-08-27T12:23:46.452Z
1787833426452-d8be1ae96ca248,M&M,BUY,15,812.67,12190.05,794.46,0,2026-08-27T12:23:46.452Z
1787833426452-57bca2b5e42e08,KPITTECH,SELL,17,264,4488,264.67,-11.39,2026-08-27T12:23:46.452Z
1787833426452-a26a77da1a4af8,INFY,SELL,19,1523.44,28945.36,1532.05,-163.59,2026-08-27T12:23:46.452Z
1787833426452-a2240d6a6ca7f,SBIN,SELL,20,449.78,8995.6,443.07,134.2,2026-08-27T12:23:46.452Z
1787833426452-e4fbf5933e5,JUBLFOOD,BUY,7,2981.9,20873.3,2993.26,0,2026-08-27T12:23:46.452Z
1787833426452-2395563b4688d,EVEREADY,BUY,6,327.96,1967.76,326.2,0,2026-08-27T12:23:46.452Z
1787833426452-b422dd05e9b758,SBIN,BUY,8,447.44,3579.52,443.07,0,2026-08-27T12:23:46.452Z
1787833426452-f8badf39f8a1e,ONGC,BUY,3,117.88,353.64,117.5,0,2026-08-27T12:23:46.452Z
1787833426451-e289f60630da,RELIANCE,BUY,8,2012.74,16101.92,2017.1,0,2026-08-27T12:23:46.451Z
1787833426451-21315e139d9b5,TATAPOWER,BUY,6,125.43,752.58,124.83,0,2026-08-27T12:23:46.451Z
1787833426451-57bf2ba4f37988,RELIANCE,SELL,3,2023.55,6070.65,2017.37,18.54,2026-08-27T12:23:46.451Z
1787833426451-bc42aecf8eec28,INFY,SELL,10,1523.81,15238.1,1532.05,-82.4,2026-08-27T12:23:46.451Z
1787833426451-8485aa68084db8,SGBMAY29,BUY,3,4702.2,14106.6,4702.92,0,2026-08-27T12:23:46.451Z
1787833426451-e268c6b7b07518,RELIANCE,BUY,13,2016.28,26211.64,2017.37,0,2026-08-27T12:23:46.451Z
1787833426451-efd543a9acb93,EVEREADY,SELL,13,329.88,4288.44,326.13,48.75,2026-08-27T12:23:46.451Z
1787833426451-4af69e9fd87868,M&M,BUY,10,810.88,8108.8,793.31,0,2026-08-27T12:23:46.451Z
1787833426451-7acae8cc85c0f,WIPRO,SELL,17,600.91,10215.47,594.73,105.06,2026-08-27T12:23:46.451Z
1787833426451-bdd6c68f83bbe,HDFCBANK,BUY,17,1515.39,25761.63,1516.49,0,2026-08-27T12:23:46.451Z
1787833426451-60cb72dacff,TATAPOWER,BUY,12,124.93,1499.16,124.81,0,2026-08-27T12:23:46.451Z
1787833426451-78c9f7b74b436,TATAPOWER,BUY,19,125.52,2384.88,124.8,0,2026-08-27T12:23:46.451Z
1787833426451-251a5adc34b628,KPITTECH,BUY,4,264.38,1057.52,264.67,0,2026-08-27T12:23:46.451Z
1787833426451-960143e6168938,WIPRO,BUY,5,599.82,2999.1,594.73,0,2026-08-27T12:23:46.451Z
1787833426451-eb5d121d035c48,WIPRO,SELL,4,601.17,2404.68,594.6,26.28,2026-08-27T12:23:46.451Z
1787833426451-f7e61dadf2fd58,HDFCBANK,SELL,19,1520.11,28882.09,1516.64,65.93,2026-08-27T12:23:46.451Z
1787833426451-c1807c7c52f8d8,ONGC,BUY,14,117.72,1648.08,117.49,0,2026-08-27T12:23:46.451Z
1787833426451-e56f7e949a1a9,EVEREADY,BUY,19,330.69,6283.11,326.13,0,2026-08-27T12:23:46.451Z
