symbol,qty,avgCost,lastPrice,currentValue,investment,unrealizedPnl,netChange,dayChange
INFY,45,1531.93,1458.49,65632.05,68936.85,-3304.8,-4.79%,-6.23%
M&M,298,797.04,837.63,249613.74,237517.92,12095.82,+5.09%,+7.42%
SBIN,168,443.99,437.36,73476.48,74590.32,-1113.84,-1.49%,+1.66%
SGBMAY29,212,4702.32,4687.1,993665.2,996891.84,-3226.64,-0.32%,-0.68%
EVEREADY,204,326.95,315.17,64294.68,66697.8,-2403.12,-3.60%,+0.90%
TCS,72,3230.36,3134.49,225683.28,232585.92,-6902.64,-2.97%,-1.89%
HINDUNILVR,84,2438.24,2513.43,211128.12,204812.16,6315.96,+3.08%,+3.97%
WIPRO,220,595.29,563.1,123882,130963.8,-7081.8,-5.41%,-2.54%
ONGC,107,117.53,122.85,13144.95,12575.71,569.24,+4.53%,+5.18%
TATAPOWER,249,124.9,122.26,30442.74,31100.1,-657.36,-2.11%,-1.52%
ITC,248,202.08,206.88,51306.24,50115.84,1190.4,+2.38%,-0.49%
HDFCBANK,151,1516.71,1531.7,231286.7,229023.21,2263.49,+0.99%,+0.61%
QUICKHEAL,220,314.94,332.37,73121.4,69286.8,3834.6,+5.53%,+7.72%
KPITTECH,163,264.44,266.49,43437.87,43103.72,334.15,+0.78%,+0.02%
BHARTIARTL,159,559.32,567.35,90208.65,88931.88,1276.77,+1.44%,+4.84%
JUBLFOOD,233,2991.29,2934.91,683834.03,696970.57,-13136.54,-1.88%,-4.79%
RELIANCE,154,2016.65,2086.24,321280.96,310564.1,10716.86,+3.45%,-1.24%
