"time","investment","currentValue","pnl","pnlPercent"
"2026-08-27T12:14:06.833Z","29875.55","31371.23","1495.68","5.01"
"2026-08-27T12:14:09.843Z","29875.55","31397.3","1521.75","5.09"
"2026-08-27T12:14:12.853Z","1784585.01","1786688.53","2103.52","0.12"
"2026-08-27T12:14:15.864Z","1784585.01","1788769.09","4184.08","0.23"
"2026-08-27T12:14:18.867Z","1784585.01","1790918.8","6333.79","0.35"
"2026-08-27T12:14:21.874Z","1784585.01","1793120.52","8535.51","0.48"
"2026-08-27T12:14:24.888Z","1784585.01","1795093.01","10508","0.59"
"2026-08-27T12:14:27.897Z","1784585.01","1792518.4","7933.39","0.44"
"2026-08-27T12:14:30.907Z","1784585.01","1795150.31","10565.3","0.59"
"2026-08-27T12:14:33.916Z","1784585.01","1792988.53","8403.52","0.47"
"2026-08-27T12:14:36.921Z","1784585.01","1792750.51","8165.5","0.46"
"2026-08-27T12:14:39.932Z","1784585.01","1795078.96","10493.95","0.59"
"2026-08-27T12:14:42.937Z","1784585.01","1796883.56","12298.55","0.69"
"2026-08-27T12:14:45.943Z","1784585.01","1797142.06","12557.05","0.7"
"2026-08-27T12:14:48.951Z","1784585.01","1800421.23","15836.22","0.89"
"2026-08-27T12:14:51.951Z","1784585.01","1799876.33","15291.32","0.86"
"2026-08-27T12:14:54.966Z","1784585.01","1799540.69","14955.68","0.84"
"2026-08-27T12:14:57.966Z","1784585.01","1799037.83","14452.82","0.81"
"2026-08-27T12:15:00.967Z","1784585.01","1798793.54","14208.53","0.8"
"2026-08-27T12:15:03.978Z","1784585.01","1799431.5","14846.49","0.83"
"2026-08-27T12:15:06.986Z","1784585.01","1797845.9","13260.89","0.74"
"2026-08-27T12:15:09.998Z","1784585.01","1794946.04","10361.03","0.58"
"2026-08-27T12:15:13.010Z","1784585.01","1799580.51","14995.5","0.84"
"2026-08-27T12:15:16.014Z","1784585.01","1799944.21","15359.2","0.86"
"2026-08-27T12:15:19.029Z","1784585.01","1801903.31","17318.3","0.97"
"2026-08-27T12:15:22.037Z","1784585.01","1800167.47","15582.46","0.87"
"2026-08-27T12:15:25.051Z","1784585.01","1799088.17","14503.16","0.81"
"2026-08-27T12:15:28.064Z","1784585.01","1801911.45","17326.44","0.97"
"2026-08-27T12:15:31.081Z","1784585.01","1801096.47","16511.46","0.93"
"2026-08-27T12:15:34.083Z","1784585.01","1801193.4","16608.39","0.93"
"2026-08-27T12:15:37.090Z","1784585.01","1799151","14565.99","0.82"
"2026-08-27T12:15:40.105Z","1784585.01","1798859.54","14274.53","0.8"
"2026-08-27T12:15:43.110Z","1784585.01","1797273.44","12688.43","0.71"
"2026-08-27T12:15:46.122Z","1784585.01","1794056","9470.99","0.53"
"2026-08-27T12:15:49.135Z","1784585.01","1796274.1","11689.09","0.66"
"2026-08-27T12:15:52.136Z","1784585.01","1796170.67","11585.66","0.65"
"2026-08-27T12:15:55.151Z","1784585.01","1795066.21","10481.2","0.59"
"2026-08-27T12:15:58.165Z","1784585.01","1796024.36","11439.35","0.64"
"2026-08-27T12:16:01.176Z","1784585.01","1795613.82","11028.81","0.62"
"2026-08-27T12:16:04.177Z","1784585.01","1796537.4","11952.39","0.67"
"2026-08-27T12:16:07.185Z","1784585.01","1797556.63","12971.62","0.73"
"2026-08-27T12:16:10.200Z","1784585.01","1799057.28","14472.27","0.81"
"2026-08-27T12:16:13.212Z","1784585.01","1799301.54","14716.53","0.82"
"2026-08-27T12:16:16.226Z","1784585.01","1799412.27","14827.26","0.83"
"2026-08-27T12:16:19.234Z","1784585.01","1798624.04","14039.03","0.79"
"2026-08-27T12:16:22.245Z","1784585.01","1799913.64","15328.63","0.86"
"2026-08-27T12:16:25.251Z","1784585.01","1799598.29","15013.28","0.84"
