symbol,totalTrades,buyQty,sellQty,buyValue,sellValue,avgBuyPrice,avgSellPrice,realizedPnl,turnover,lastTradeAt
SGBMAY29,63,436,226,2052015.81,1062568.57,4704.77,4702.85,-2011.66,3114584.38,2026-08-27T12:23:46.455Z
JUBLFOOD,50,380,165,1148451.62,504152.05,3027.85,3050.58,-2966.07,1652603.67,2026-08-27T12:23:46.455Z
TCS,52,289,220,927140.35,706335.48,3210.2,3209.17,2406.94,1633475.83,2026-08-27T12:23:46.455Z
HINDUNILVR,60,333,289,809902.24,703361.44,2433.77,2434.65,1095.62,1513263.68,2026-08-27T12:23:46.455Z
RELIANCE,62,356,250,729078.16,518011.8,2059.02,2066.08,-1067.49,1247089.96,2026-08-27T12:23:46.454Z
INFY,56,357,313,551320.36,480970.47,1544.35,1537.38,-2762.7,1032290.83,2026-08-27T12:23:46.455Z
HDFCBANK,57,371,266,564345.9,404517.55,1521.49,1520.46,-611.62,968863.45,2026-08-27T12:23:46.454Z
M&M,66,488,192,385812.76,150880.16,791.49,785.46,965.69,536692.92,2026-08-27T12:23:46.454Z
WIPRO,65,454,263,267514.33,154489.07,588.65,587.67,1554.72,422003.4,2026-08-27T12:23:46.453Z
BHARTIARTL,61,384,229,211850.67,125867.73,551.81,550.48,790.03,337718.4,2026-08-27T12:23:46.454Z
SBIN,52,370,206,162420.73,91011.79,439.91,441.9,1882.37,253432.52,2026-08-27T12:23:46.455Z
EVEREADY,56,427,223,137715.98,71685.43,322.77,321,669.31,209401.41,2026-08-27T12:23:46.455Z
QUICKHEAL,59,384,230,120401.85,71829.06,313.15,312.44,347.18,192230.91,2026-08-27T12:23:46.454Z
KPITTECH,59,377,287,99872.42,76032.05,264.92,264.92,2.23,175904.47,2026-08-27T12:23:46.455Z
ITC,68,431,230,87535.28,46623.26,203.63,202.62,-475.27,134158.54,2026-08-27T12:23:46.455Z
TATAPOWER,63,450,228,56106.01,28431.3,124.72,124.67,173.19,84537.31,2026-08-27T12:23:46.455Z
ONGC,51,294,198,34405.83,23160.77,117.08,116.92,47.05,57566.6,2026-08-27T12:23:46.455Z
